,,,,,Construction_Field.yuv 3840x2160 (300 frames),,,,
Model,QP,Bitrate (kbps),YUV-PSNR (db),User time (s),System time (s),Real time (s),Total time (user+sys) (min),MS-SSIM,VMAF
FasterViT,22,95617.036,41.3758,34m46.787s,0m41.669s,32m3.594s,35.47426667,0.992171,95.003648
FasterViT,27,45917.82,40.0497,24m58.643s,0m35.966s,22m15.368s,25.57681667,0.987168,91.242246
FasterViT,32,25686.5813,38.6418,33m5.467s,0m37.824s,31m29.782s,33.72151667,0.978846,84.066286
FasterViT,37,14306.7893,36.901,17m59.878s,0m35.212s,15m12.772s,18.58483333,0.963085,71.560544
CNN,22,97739.1713,41.3986,38m40.929s,0m47.107s,36m29.383s,39.46726667,0.992242,94.999534
CNN,27,46470.9133,40.046,26m12.104s,0m34.466s,24m4.350s,26.77616667,0.98717,91.211593
CNN,32,26018.6267,38.6351,35m28.888s,1m13.776s,32m48.101s,36.71106667,0.978818,83.986826
CNN,37,14510.81,36.8877,18m24.935s,0m44.780s,16m7.874s,19.16191667,0.962898,71.412872
HEVC,22,99560.6253,41.4875, 176m32.002s, 0m45.287s, 177m19.629s,177.28815,0.992462,95.101023
HEVC,27,45144.4507,40.0743, 136m37.604s, 0m23.996s, 137m4.295s,137.0266667,0.987276,91.298824
HEVC,32,25147.4067,38.6771,119m52.203s, 0m19.626s,120m14.587s,120.19715,0.979053,84.16056
HEVC,37,13957.3013,36.9431,112m32.217s, 0m26.315s,113m1.375s,112.9755333,0.963414,71.653715
,,,,,Netflix_FoodMarket2 4096x2160 (300 frames),,,,
FasterViT,22,320198.8192,43.7723,48m10.025s,0m44.896s,45m22.375s,48.91535,0.998878,99.855482
FasterViT,27,182892.384,41.3659,37m13.484s,1m17.690s, 36m31.030s,38.51956667,0.997763,99.071362
FasterViT,32,107419.96,38.929,28m20.742s,0m40.641s,25m14.366s,29.02305,0.983955,95.311029
FasterViT,37,62285.6592,36.366,24m5.490s, 0m40.593s, 21m6.850s,24.76805,0.96328,82.377022
